year,ladder_score,upperwhisker,lowerwhisker,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
2021,0.565711,0.576345,0.555306,0.696243,0.586461,0.507476,0.664928,0.196262,0.340952,0.183507
2020,0.526099,0.53713,0.515306,0.500679,0.503351,0.488127,0.632334,0.235981,0.274286,0.177644
2019,0.555808,0.566542,0.545306,0.444998,0.80496,0.652595,0.608866,0.261682,0.220952,0.165134
2023,0.563235,0.571548,0.554898,0.595292,0.685657,0.562885,0.664928,0.203271,0.148571,0.16864
2022,0.528987,0.536504,0.521633,0.607967,0.700402,0.418646,0.604954,0.184579,0.131429,0.160897
2021,0.523623,0.530455,0.517143,0.612042,0.503351,0.622691,0.611473,0.186916,0.158095,0.158524
2020,0.571281,0.576763,0.565918,0.423268,0.454424,0.562885,0.604954,0.25,0.118095,0.153655
2019,0.604498,0.608886,0.600408,0.386148,0.732574,0.737907,0.598435,0.268692,0.165714,0.15721
2023,0.2026,0.199416,0.20551,0.62019,0.581769,0.4292,0.51369,0.058411,0.493333,0.144742
2022,0.242418,0.245515,0.239592,0.623359,0.565684,0.286719,0.483703,0.088785,0.47619,0.139169
2021,0.266763,0.264289,0.26898,0.628339,0.404826,0.48197,0.48631,0.095794,0.48381,0.1264
2020,0.265731,0.263037,0.268367,0.43187,0.347855,0.37467,0.456323,0.161215,0.175238,0.120823
2019,0.238498,0.231957,0.245102,0.396107,0.573056,0.525066,0.362451,0.161215,0.180952,0.121536
2023,0.716732,0.727785,0.705714,0.572657,0.63807,0.48285,0.938722,0.193925,0.481905,0.218491
2022,0.645141,0.656446,0.633878,0.578542,0.613941,0.336851,0.804433,0.184579,0.422857,0.213369
2021,0.644729,0.654985,0.634694,0.572657,0.428954,0.533861,0.743155,0.207944,0.40381,0.215341
2020,0.632556,0.642053,0.623061,0.382526,0.366622,0.496922,0.676662,0.271028,0.304762,0.203054
2019,0.691768,0.699207,0.68449,0.339067,0.684316,0.662269,0.558018,0.278037,0.222857,0.195329
2023,0.712399,0.71214,0.712449,0.793119,0.937668,0.577836,0.924381,0.38785,0.76381,0.38366
2022,0.713844,0.714226,0.713673,0.813943,0.936997,0.434477,0.82399,0.357477,0.708571,0.387607
2021,0.690324,0.689403,0.69102,0.811679,0.739946,0.640281,0.773142,0.287383,0.634286,0.389496
2020,0.658964,0.657697,0.660204,0.60842,0.637399,0.562885,0.710561,0.278037,0.500952,0.385943
2019,0.62451,0.622028,0.626735,0.539611,0.88807,0.741425,0.627119,0.292056,0.384762,0.403122
2023,0.104601,0.117438,0.092041,0.56813,0.534182,0.154793,0.245111,0.13785,0.220952,0.221374
2021,0.289045,0.312265,0.266327,0.576732,0.441019,0.173263,0.212516,0.088785,0.293333,0.216171
2023,0.178667,0.185023,0.172449,0.358533,0.52748,0.369393,0.449804,0.630841,0.192381,0.252806
2022,0.226119,0.242595,0.209796,0.358986,0.660858,0.219877,0.462842,0.661215,0.192381,0.237156
2021,0.257066,0.261786,0.252653,0.356722,0.456434,0.401935,0.490222,0.478972,0.259048,0.21483
2020,0.264081,0.263663,0.264286,0.167497,0.369303,0.291117,0.462842,0.563084,0.217143,0.208837
2019,0.245719,0.2403,0.25102,0.142598,0.585121,0.425682,0.413299,0.53271,0.222857,0.210109
2020,1.0,1.0,1.0,0.654595,0.655496,0.651715,0.77575,0.28972,0.91619,0.344636
2019,0.993192,0.992908,0.993469,0.581711,0.919571,0.845207,0.73794,0.373832,0.910476,0.34504
2023,0.745616,0.745724,0.74551,0.822997,0.817694,0.639402,0.722295,0.261682,0.535238,0.406721
2022,0.756344,0.756154,0.756735,0.840199,0.874665,0.497801,0.633638,0.193925,0.514286,0.401526
2021,0.761708,0.760951,0.762245,0.843368,0.731233,0.710642,0.614081,0.163551,0.506667,0.368988
2020,0.762327,0.761786,0.762857,0.643278,0.63874,0.707124,0.573664,0.214953,0.447619,0.382314
2019,0.756963,0.756571,0.757143,0.574015,0.892091,0.905893,0.54498,0.264019,0.432381,0.3905
2023,0.435527,0.444931,0.426327,0.635129,0.60992,0.302551,0.547588,0.10514,0.190476,0.213748
2022,0.420879,0.430747,0.41102,0.650973,0.598525,0.16095,0.325945,0.084112,0.194286,0.200638
2021,0.404993,0.413225,0.397143,0.66048,0.408847,0.348285,0.322034,0.074766,0.188571,0.179643
2020,0.383124,0.393826,0.372653,0.469443,0.38807,0.318382,0.42764,0.135514,0.121905,0.174335
2019,0.378378,0.383187,0.373673,0.447261,0.655496,0.459982,0.355932,0.121495,0.106667,0.170456
2023,0.307407,0.31602,0.298776,0.33952,0.372654,0.290237,0.473272,0.757009,0.091429,0.080256
2022,0.264906,0.286608,0.243878,0.3445,0.325737,0.153034,0.247718,0.775701,0.062857,0.07654
2021,0.447493,0.479558,0.415918,0.355364,0.330429,0.324538,0.353325,0.906542,0.19619,0.072262
2019,0.362286,0.369629,0.354898,0.116342,0.506032,0.310466,0.400261,0.995327,0.300952,0.071914
2023,0.451826,0.453275,0.450408,0.664101,0.577748,0.460862,0.761408,0.0,0.331429,0.378526
2022,0.436146,0.439925,0.432653,0.668628,0.548928,0.3219,0.577575,0.0,0.382857,0.384108
2021,0.408087,0.410722,0.40551,0.664101,0.324397,0.523307,0.537158,0.0,0.39619,0.392288
2020,0.39117,0.393826,0.388776,0.466274,0.229223,0.437995,0.511082,0.074766,0.344762,0.400043
2019,0.346194,0.343763,0.348571,0.383431,0.404155,0.611258,0.507171,0.11215,0.331429,0.405398
2023,0.76831,0.772841,0.763673,0.84699,0.845845,0.617414,0.787484,0.406542,0.700952,0.442151
2022,0.804002,0.809136,0.79898,0.868719,0.853217,0.474055,0.680574,0.357477,0.695238,0.438534
2021,0.833299,0.836879,0.83,0.870982,0.643432,0.682498,0.637549,0.380841,0.681905,0.43067
2020,0.858263,0.859825,0.856531,0.669986,0.579759,0.665787,0.657106,0.455607,0.582857,0.431163
2019,0.841964,0.841886,0.842041,0.594839,0.831769,0.854881,0.610169,0.588785,0.588571,0.430601
2023,0.266969,0.268252,0.265714,0.487551,0.414879,0.316623,0.687093,0.42757,0.053333,0.127359
2022,0.332164,0.337714,0.326735,0.498416,0.420912,0.173263,0.560626,0.492991,0.066667,0.121643
2021,0.38725,0.394034,0.380612,0.503395,0.313003,0.359719,0.526728,0.537383,0.106667,0.112157
2020,0.431813,0.439925,0.424082,0.307832,0.313003,0.252419,0.548892,0.626168,0.110476,0.10639
2019,0.444192,0.449103,0.439388,0.260751,0.561662,0.379947,0.496741,0.609813,0.108571,0.102964
2023,0.606354,0.608469,0.604082,0.762336,0.769437,0.612137,0.314211,0.042056,0.177143,0.42582
2022,0.605736,0.607843,0.603673,0.773201,0.75,0.470536,0.198175,0.018692,0.184762,0.418209
2021,0.609243,0.611806,0.606735,0.770937,0.571046,0.680739,0.199478,0.035047,0.205714,0.421762
2020,0.562822,0.56383,0.561633,0.576279,0.457775,0.668426,0.191656,0.0,0.140952,0.416564
2019,0.519909,0.520859,0.51898,0.510638,0.697721,0.861038,0.101695,0.0,0.093333,0.416004
2023,0.679183,0.698164,0.660612,0.570394,0.697721,0.41073,0.833116,0.245327,0.148571,0.131366
2022,0.650918,0.678348,0.624286,0.582617,0.710456,0.272647,0.697523,0.247664,0.125714,0.131012
2021,0.674025,0.69879,0.649796,0.576732,0.47118,0.459103,0.73794,0.261682,0.219048,0.129334
2020,0.709717,0.723196,0.696327,0.382526,0.4437,0.456464,0.706649,0.380841,0.2,0.122867
2019,0.70229,0.709846,0.694694,0.341331,0.701072,0.620932,0.674055,0.399533,0.186667,0.124176
2023,0.418403,0.428869,0.408367,0.376188,0.331099,0.207564,0.554107,0.490654,0.20381,0.13063
2022,0.428512,0.438673,0.418571,0.382073,0.434316,0.063325,0.355932,0.476636,0.194286,0.125042
2021,0.39117,0.400083,0.382245,0.383884,0.293566,0.241865,0.3103,0.5,0.220952,0.113809
2020,0.410357,0.427618,0.393469,0.190131,0.181635,0.181179,0.375489,0.584112,0.211429,0.1117
2019,0.403136,0.413433,0.393061,0.17655,0.41756,0.293755,0.359844,0.581776,0.213333,0.111495
2023,0.613369,0.626617,0.600408,0.493889,0.607909,0.441513,0.813559,0.408879,0.154286,0.093948
2022,0.624716,0.643721,0.605918,0.504753,0.632708,0.299912,0.674055,0.441589,0.118095,0.094708
2021,0.62451,0.642261,0.607143,0.502943,0.507373,0.488127,0.633638,0.471963,0.144762,0.095789
2020,0.60326,0.619733,0.587347,0.318244,0.441689,0.521548,0.628422,0.563084,0.158095,0.088791
2019,0.610274,0.619942,0.600816,0.271163,0.709786,0.69657,0.615385,0.600467,0.165714,0.092569
2023,0.623478,0.628703,0.618367,0.779538,0.938338,0.524186,0.632334,0.287383,0.127619,0.488875
2022,0.62843,0.633917,0.623061,0.794024,0.932306,0.382586,0.528031,0.245327,0.12381,0.494857
2021,0.637714,0.641844,0.633673,0.791308,0.740617,0.587511,0.507171,0.182243,0.121905,0.500901
2020,0.618321,0.620567,0.616122,0.588954,0.64008,0.540897,0.466754,0.156542,0.07619,0.511748
2019,0.619971,0.619107,0.62102,0.526935,0.867962,0.709763,0.378096,0.163551,0.053333,0.518156
2023,0.934599,0.940342,0.929184,0.851517,0.997989,0.631486,0.942634,0.602804,0.346667,0.294838
2022,0.93563,0.941802,0.929388,0.871888,1.0,0.491645,0.837027,0.584112,0.35619,0.290551
2021,0.941201,0.947226,0.93551,0.876415,0.798928,0.706245,0.810952,0.630841,0.36381,0.268612
2020,0.940582,0.951189,0.930204,0.670892,0.699732,0.67898,0.784876,0.684579,0.32381,0.270366
2019,0.930266,0.940968,0.92,0.600724,0.951743,0.880387,0.73794,0.845794,0.27619,0.277623
2023,0.218486,0.211306,0.22551,0.527841,0.351877,0.366755,0.874837,0.406542,0.232381,0.145588
2022,0.214772,0.204839,0.22449,0.524672,0.365952,0.221636,0.767927,0.408879,0.211429,0.141253
2021,0.161337,0.149771,0.172653,0.528293,0.16622,0.414248,0.718383,0.462617,0.234286,0.148872
2020,0.170002,0.158323,0.181429,0.335446,0.126005,0.336851,0.685789,0.574766,0.201905,0.131107
2019,0.119249,0.108052,0.130408,0.330919,0.345845,0.475814,0.632334,0.553738,0.201905,0.124961
2023,0.530844,0.534001,0.527755,0.616116,0.707775,0.415128,0.890482,0.932243,0.104762,0.192085
2022,0.470807,0.476012,0.46551,0.626528,0.697721,0.276165,0.739244,0.985981,0.072381,0.187
